id,title,answer_id,stage,step,anim_id,x,y,answer_se
1,SKIP,10001,1,1,1,1387,750,right_answer
2,スキップ,10002,1,1,2,1306,788,Incorrect_answer
3,すきっぷ,10003,1,1,3,1307,607,Incorrect_answer
4,スキップ,10004,1,2,4,1643,580,right_answer
5,ストップ,10005,1,2,5,1443,961,Incorrect_answer
6,ストリップ,10006,1,2,6,1195,951,Incorrect_answer
7,スキツプ,10007,1,2,7,1185,823,Incorrect_answer
8,"SK<clor=""#ff0000ff"">I</clor>P",10008,1,3,8,1039,942,right_answer
9,SKIP,10009,1,3,9,1397,683,Incorrect_answer
10,"SK<clor=""#00ffffff"">I</clor>P",10010,1,3,10,1450,552,Incorrect_answer
11,"SK<clor=""#008000ff"">I</clor>P",10011,1,3,11,1031,769,Incorrect_answer
12,"SL<clor=""#ff0000ff"">I</clor>P",10012,1,3,12,1005,874,Incorrect_answer
